2016-03-12 21:40:51 CET LOG:  database system was interrupted; last known up at 2016-03-11 19:35:45 CET
2016-03-12 21:40:52 CET FATAL:  the database system is starting up
2016-03-12 21:40:53 CET FATAL:  the database system is starting up
2016-03-12 21:40:54 CET FATAL:  the database system is starting up
2016-03-12 21:40:55 CET FATAL:  the database system is starting up
2016-03-12 21:40:56 CET LOG:  database system was not properly shut down; automatic recovery in progress
2016-03-12 21:40:56 CET LOG:  invalid record length at 0/1709F70
2016-03-12 21:40:56 CET LOG:  redo is not required
2016-03-12 21:40:56 CET LOG:  MultiXact member wraparound protections are now enabled
2016-03-12 21:40:56 CET LOG:  database system is ready to accept connections
2016-03-12 21:40:56 CET LOG:  autovacuum launcher started
